#Types Before Cut: 11091
#Types After Cut: 9652
#Search Hits: 0
705	99	13.311	чтобы
706	7	13.273	взяла
707	7	13.273	готовили
708	7	13.273	женщины
709	7	13.273	одни
710	7	13.273	понравились
711	7	13.273	ребят
712	7	13.273	ходил
713	13	13.088	юлия
714	24	12.994	шесть
715	22	12.827	дальше
716	18	12.751	разных
717	8	12.574	купила
718	8	12.574	маленькие
719	8	12.574	ходят
720	11	12.550	город
721	11	12.550	посмотреть
722	11	12.550	рядом
723	11	12.550	утром
724	15	12.508	вас
725	35	12.405	себя
726	45	12.398	эту
727	10	12.392	народ
728	9	12.367	ан
729	9	12.367	видел
730	9	12.367	институте
731	9	12.367	историю
732	9	12.367	ушли
733	9	12.367	часа
734	21	12.324	кого
735	35	11.835	этим
736	16	11.807	наш
737	16	11.807	семь
738	18	11.748	сильно
739	13	11.687	месте
740	13	11.687	море
741	13	11.687	пойти
742	48	11.458	хотя
743	15	11.343	семьи
744	17	11.257	начал
745	85	11.003	можно
746	11	10.961	писала
747	6	10.890	всяких
748	6	10.890	думали
749	6	10.890	знаем
750	6	10.890	ка
751	6	10.890	лагерь
752	6	10.890	носили
753	6	10.890	поговорим
754	6	10.890	русские
755	6	10.890	свет
756	6	10.890	семью
757	6	10.890	скажу
758	6	10.890	слава
759	6	10.890	страшно
760	6	10.890	судить
761	6	10.890	ушел
762	4	10.680	apro
763	4	10.680	class
764	4	10.680	glass
765	4	10.680	mixed
766	4	10.680	note
767	4	10.680	pl
768	4	10.680	spro
769	4	10.680	tor
770	4	10.680	барашков
771	4	10.680	бассейн
772	4	10.680	беззеркалки
773	4	10.680	белорусским
774	4	10.680	белые
775	4	10.680	братьях
776	4	10.680	буква
777	4	10.680	вай
778	4	10.680	венеру
779	4	10.680	верю
780	4	10.680	веселая
781	4	10.680	витя
782	4	10.680	встретилась
783	4	10.680	всякое
784	4	10.680	всём
785	4	10.680	вышки
786	4	10.680	гитара
787	4	10.680	гитаре
788	4	10.680	гкчп
789	4	10.680	глазами
790	4	10.680	голова
791	4	10.680	гриша
792	4	10.680	громкоговорителя
793	4	10.680	грусти
794	4	10.680	гуляют
